一般的な製品番号,略称,症状
75,四君子湯,"重度の食欲不振,食欲不振,食後眠くなる,疲労感,倦怠感,疲れやすい,胃腸虚弱体質,下痢,"
314,梔子柏皮湯,"黄疸,発疹,痒み,"
46,七物降下湯,"のぼせ,めまい,頭痛,耳鳴り,肩こり,高血圧,"
71,四物湯,"貧血,乾燥肌,月経不順,PMS,目が疲れる,眼精疲労,爪がもろい,"
64,炙甘草湯,"息切れ,不整脈,動悸,呼吸困難,"
68,芍薬甘草湯,"こむら返り,足がつる,腹痛,筋肉がつる,筋肉のけいれん,"
146,芍薬甘草附子湯,"悪寒,風邪を漢方で治した後に悪寒だけ残った,"
48,十全大補湯,"貧血,乾燥肌,手術後,食欲不振,食後眠くなる,疲れやすい,疲労感,病中の衰弱,病後の衰弱,産後の衰弱,"
6,十味敗毒湯,"ニキビ,化膿,湿疹,アトピー,蕁麻疹"
51,潤腸湯,"便秘,コロコロした便,便が兎の糞状,"
99,小建中湯,"小児,虚弱体質,倦怠感,腹痛,"
9,小柴胡湯,"肺炎,気管支炎,アトピー,イライラ,落ち込み,ノイローゼ,ストレス,"
109,小柴胡湯加桔梗石膏,"風邪をこじらせた,喉の痛み,喉の腫れ,新型コロナ,肺炎,気管支炎,咽頭炎,扁桃炎,耳下腺炎,"
19,小青竜湯,"アレルギー性鼻炎,花粉症,喘息,鼻水,痰,風邪,悪寒,頭痛,呼吸困難,"
21,小半夏加茯苓湯,"つわり,吐き気,嘔吐,"
22,消風散,"分泌物が多い,痒みの強い慢性の皮膚病,アトピー,皮膚炎,痒み,滲出液,"
101,升麻葛根湯,"皮膚炎,赤い発疹,蕁麻疹,"
140,四苓湯,"浮腫,吐き気,低気圧,倦怠感,めまい,嘔吐,下痢,雨の日だるい,"
104,辛夷清肺湯,"慢性の副鼻腔炎,顔面痛,鼻閉,副鼻腔痛,頭痛,後鼻漏,鼻茸,鼻ポリープ,蓄膿,"
66,参蘇飲,"風邪,感冒,咳,痰,鼻水,頭痛,妊婦,"
85,神秘湯,"気管支炎,喘息,小児喘息,呼吸困難,咳,"
30,真武湯,"下痢,冷え,疲れやすい,疲労感,倦怠感,めまい,手足の冷え,寒がり,吐き気,浮腫,"
58,清上防風湯,"ニキビ,赤いニキビ,腫れたニキビ,思春期ニキビ,頭部湿疹,酒さ,"
136,清暑益気湯,"暑気あたり,食欲不振,下痢,倦怠感,夏バテ,熱中症,"
111,清心蓮子飲,"膀胱炎,精神的な原因,頻尿,心因性頻尿,繊細,抑うつ,憂鬱,残尿感,排尿痛,ノイローゼ,"
90,清肺湯,"痰,COPD,喫煙者,タバコ,咳,"
124,川きゅう茶調散,"かぜ,頭痛,PMS,"
53,疎経活血湯,"腰痛,筋肉痛,神経痛,関節痛,下半身の痛み,"
84,大黄甘草湯,"便秘,"
33,大黄牡丹皮湯,"月経不順,月経困難,便秘,痔疾,PMS,更年期障害,子宮筋腫,"
100,大建中湯,"腹痛,腸の異常運動,お腹が鳴る,蠕動運動亢進,"
8,大柴胡湯,"イライラ,メタボ体型,便秘,怒りやすい,イライラ,吐き気,抑うつ,不眠,頭痛,肩こり,"
319,大柴胡湯去大黄,"イライラ,メタボ体型,怒りやすい,イライラ,吐き気,抑うつ,不眠,頭痛,肩こり,"
133,大承気湯,"便秘,お腹の張り,腹痛,"
97,大防風湯,"関節痛,関節の腫れ,麻痺,変形性膝関節症,リウマチ,"
91,竹じょ温胆湯,"不眠,ノイローゼ,風邪をこじらせた,"
59,治頭瘡一方,"顔の湿疹,頭の湿疹,化膿,痒み,発疹,脂漏性湿疹,"
89,治打撲一方,"打撲によるはれ及び痛み,打撲,ねんざ,腫れ,"
74,調胃承気湯,"便秘,急性胃腸炎,下痢を伴う高熱,お腹の張り,腹痛,"
47,釣藤散,"頭痛,朝の頭痛,目の奥が痛い,めまい,イライラ,思い悩み,頻尿,抑うつ,肩こり,偏頭痛,高血圧,緑内障"
320,腸癰湯,"虫垂炎,お腹の張り,腹痛,化膿,"
40,猪苓湯,"膀胱炎,頻尿,残尿感,"
112,猪苓湯合四物湯,"膀胱炎,頻尿,残尿感,"
105,通導散,"便秘,お腹の張り,不安症,PMS,生理痛,"
61,桃核承気湯,"便秘,のぼせ,発狂,PMS,月経不順,頭痛,不安症,ヒステリー,ノイローゼ,不妊症,腰痛,更年期障害,不正出血,痔,捻挫,打撲,うっ血"
86,当帰飲子,"乾燥肌,痒み,落屑,肌がはがれる,粉が吹く肌,かくと肌がこぼれる,高齢者の痒み,"
123,当帰建中湯,"潰瘍性大腸炎,出血する胃腸炎,"
38,当帰四逆加呉茱萸生姜湯,"しもやけ,頭痛,腹痛,腰痛,エアコン病,冷え症,疲れやすい,疲労感,倦怠感,冷えて頭痛,冷えて腹痛,全身の冷え,手足の冷え,寒がり,下痢"
23,当帰芍薬散,"月経困難,不妊症,疲れやすい,浮腫,めまい,月経不順,生理痛,PMS,貧血,流産予防,腹痛,不眠,ノイローゼ,ヒステリー,更年期障害,自律神経失調症,"
143,当帰芍薬散加附子,"月経困難,不妊症,疲れやすい,浮腫,めまい,月経不順,生理痛,PMS,貧血,流産予防,腹痛,不眠,ノイローゼ,ヒステリー,更年期障害,自律神経失調症,"
102,当帰湯,"腹痛,胸痛,肩の痛み,背中痛,"
88,二朮湯,"肩の痛み,上腕痛,五十肩,四十肩,肩関節痛,頚腕症候群,"
81,二陳湯,"吐き気,嘔吐,胃の不快感,慢性胃炎,"
67,女神散,"血の道症,ほてり,ホットフラッシュ,めまい,立ちくらみ,PMS,更年期障害,月経不順,のぼせ,"
32,人参湯,"下痢,冷え,腹痛,食欲不振,吐き気,嘔吐,"
108,人参養栄湯,"疲れやすい,咳,動悸,息切れ,認知症,抑うつ,倦怠感,ゼエゼエ,呼吸困難,喘鳴,"
122,排膿散及湯,"化膿,歯槽膿漏,副鼻腔炎,蜂窩織炎,炎症,"
29,麦門冬湯,"咳,激しい咳,のぼせ,声がれ,疲労感,疲れやすい,"
7,八味地黄丸（八味丸）,"夜間頻尿,寒がり,頻尿,腰痛,耳鳴り,男性更年期障害,"
16,半夏厚朴湯,"不安症,神経性胃炎,不眠,ノイローゼ,ストレス,落ち込み,思い悩み,ガス溜まり,喉が引っかかる,抑うつ,繊細,憂鬱,不安,"
14,半夏瀉心湯,"げっぷ,胸やけ,急性胃腸炎,食あたり,吐き気,下痢,口臭,嘔吐,口内炎,口角炎,二日酔い"
37,半夏白朮天麻湯,"めまい,頭痛,吐き気,疲れやすい,食欲不振,疲労感,食後眠くなる,胃腸虚弱,立ちくらみ,低血圧,"
34,白虎加人参湯,"口の渇き,喉の渇き,汗かき,多尿,頻尿,赤ら顔,熱中症,高熱,口臭,尿崩症,アトピー,痒み,"
69,茯苓飲,"お腹の張り,ガス溜まり,腹部膨満感,げっぷ,嘔吐,胃炎,胃下垂,"
116,茯苓飲合半夏厚朴湯,"不安症,お腹の張り,ガス溜まり,腹部膨満感,げっぷ,嘔吐,胃炎,胃下垂,,不眠,ノイローゼ,ストレス,落ち込み,思い悩み,ガス溜まり,喉が引っかかる,抑うつ,繊細,憂鬱,不安,"
410,附子理中湯,"下痢,冷え,腹痛,食欲不振,吐き気,嘔吐,"
79,平胃散,"消化不良,食欲不振,食べ過ぎ,胃もたれ,吐き気,味がしない,胃炎,"
20,防已黄耆湯,"ダイエット,汗かき,関節痛,水太り,疲れやすい,浮腫,汗をかく,腋臭,"
62,防風通聖散,"肥満症,ダイエット,メタボ,内臓脂肪,アトピー,便秘,太鼓腹,"
41,補中益気湯,"子宮下垂,多汗症,疲れ,食欲不振,体力がない,倦怠感,風邪を引きやすい,胃下垂,汗かき,疲労感,疲れやすい,味がしない,下痢,脱肛,"
27,麻黄湯,"インフルエンザ,高熱,寒気,風邪,咳,鼻水,悪寒,節々の痛み,頭痛,発熱,"
127,麻黄附子細辛湯,"悪寒,背中の冷え,ゾクゾク,のどチクの風邪,咳,鼻水,風邪,"
55,麻杏甘石湯,"気管支喘息,咳,痰,鼻水,発熱,風邪,喘息,痔,"
78,麻杏よく甘湯,"筋肉痛,変形性膝関節症,捻挫,痛み,筋の痛み,神経痛,関節痛,"
126,麻子仁丸,"便秘,コロコロした便,便が兎の糞状,"
36,木防已湯,"呼吸困難,息苦しい,喉の渇き,咳,喘鳴,胸が苦しい,"
P72,ヨクイニン,"疣贅,イボ,美肌,肌荒れ,"
52,よく苡仁湯,"筋肉痛,関節痛,リウマチ,こわばり,関節炎,変形性膝関節症,神経痛,"
54,抑肝散,"不眠,小児夜泣き,小児疳症,認知症,夜間徘徊,頭痛,めまい,イライラ,歯ぎしり,緊張しやすい,怒りやすい,イライラ,寝つきが悪い,抑うつ,ノイローゼ,チック,斜視,自律神経失調症,更年期障害,"
83,抑肝散加陳皮半夏,"不眠,小児夜泣き,小児疳症,認知症,夜間徘徊,頭痛,めまい,イライラ,歯ぎしり,緊張しやすい,怒りやすい,イライラ,寝つきが悪い,抑うつ,ノイローゼ,チック,斜視,自律神経失調症,更年期障害,"
43,六君子湯,"胃痛,嘔吐,虚弱,倦怠感,疲れやすい,食欲不振,吐き気,疲労感,味がしない,下痢,軟便,怒りやすい,イライラ,消化不良,胃炎,"
110,立効散,"抜歯後の疼痛,歯痛,歯の痛み,歯の炎症,歯茎の炎症,歯茎の腫れ,歯茎の化膿,顔面痛"
76,竜胆瀉肝湯,"体質改善,膀胱炎,尿道炎,膣炎,おりもの,陰部湿疹,頭痛,耳鳴り,"
119,苓甘姜味辛夏仁湯,"鼻水,頭痛,発熱,"
118,苓姜朮甘湯,"腰の冷え,下半身の冷え,手足の冷え,痛み,エアコン病,頻尿,"
39,苓桂朮甘湯,"めまい,乗り物酔い,耳管開放症,吐き気,耳鳴り,頭痛,立ちくらみ,難聴,気圧による耳の痛み,起立性調節障害,朝弱い小児,翼状片,ノイローゼ,ヒステリー,抑うつ,"
87,六味地黄丸（六味丸）,"疲労感,頻尿,トイレが近い,インポテンツ,腰痛,のぼせ,夜間頻尿,体力低下,耳鳴り,発育不良,男性更年期障害,"
