一般的な製品番号,略称,ふりがな,出典,証（表裏・寒熱・虚実）,六病位 ／  虚実,脈,舌,腹,漢方弁証,中医弁証
TY-026,桂枝加黄耆湯,けいしかおうぎとう,金匱要略,表・中・虚,太陽病 ／  虚証,浮弱・浮虚・浮洪弱・沈遅,乾湿中間,やや軟,体力がなく悪寒、頭痛、身体痛などがあり、動くと汗が出る、風邪をひきやすい体質,辛温解肌・調和営衛・固表止汗
TY-027,桂枝加葛根湯,けいしかかっこんとう,傷寒論,表・寒・虚,太陽病 ／  虚証,浮数 浮数弱・浮緩,著変なし,やや軟、時に腹直筋の緊張,虚弱な者の風邪の初期で肩こりや頭痛のある場合,辛温解表、調和営衛、舒肌
TY-028,桂枝加厚朴杏仁湯,けいしかこうぼくきょうにんとう,傷寒論,表・寒・虚,太陽病の虚証時に太陰病の虚証,浮やや弱・浮弱数・浮弱・やや軟,著変なし,やや軟、腹痛時には腹直筋の強い緊張,風寒型喘息・咳,辛温解表・止咳
134,桂枝加芍薬大黄湯,けいしかしゃくやくだいおうとう,傷寒論,裏・中・実,太陰病 ／  実証,脈力中等度からやや弱・浮緩・浮やや力あり等,乾湿中間で微白苔,腹力中等度からやや軟、腹部の膨満、腹直筋の緊張,脾虚または気血不足のものの腹痛。顔色がさえない、やや疲れやすい、食が細い、腹満感、腹痛便秘または熱痢あるもの。慢性便秘にも、急性下痢にも用いられる。,緩急止痛・温中散寒・通便
60,桂枝加芍薬湯,けいしかしゃくやくとう,傷寒論,裏・中・虚,太陰病 ／  虚証,弱,乾湿中間、微白苔,腹力やや軟から軟、腹壁薄い、腹直筋の緊張,脾虚または気血不足のものの腹痛。顔色がさえない、やや疲れやすい、食が細い、腹満感、腹痛があるもの。,緩急止痛・温中補虚
18,桂枝加(苓)朮附湯,けいしか(りょう)じゅつぶとう,傷寒論,表・寒・虚,太陽病あるいは少陰病 ／  虚証,浮弱・浮軟・浮遅,湿潤して無苔、時に微白苔,やや軟,寒湿痺。朮附湯（朮、附子） の散寒去湿効果で寒湿痺によるしびれ、痛み、冷えによる悪化を治す。浮腫があれば茯苓を配合して利尿を強める。,散寒去湿・止痙・解表
26,桂枝加竜骨牡蛎湯,けいしかりゅうこつぼれいとう,金匱要略,裏・寒・虚,少陽病 ／ 虚証,浮弱,湿潤傾向,腹力やや軟から軟、下腹部の腹直筋の緊張、引きつれ(小腹弦急)、腹部大動脈の拍動亢進,気血不足・虚陽浮越。不安感、不眠、動悸、多夢、夢精などの虚陽浮越の症状に、元気がない、食が細い、しびれ、顔色がわるいなどの気血不足を伴うもの。,安神・通陽・気血双補・調和栄衛
45,桂枝湯,けいしとう,傷寒論、金匱要略,表・寒・虚,太陽病の虚証時に太陰病の虚証,浮弱・浮弱数,著変なし,やや軟、時に腹直筋の緊張,表寒表虚。悪風、自汗、発熱、頭痛、身体痛、鼻閉、水様鼻汁、くしゃみなどの症状。,辛温肌解・調和営衛
82,桂枝人参湯,けいしにんじんとう,傷寒論,裏・寒・虚,太陰病 ／ 虚証,浮弱・浮遅・浮緩・浮弱数・浮数,湿潤して微白苔、または著変なし,腹力やや軟、心下痞硬、心下悸や臍上悸・臍下悸、時に上腹部の振水音,脾胃虚寒で表寒を伴う感冒、頭痛、下痢。,温中散寒・健脾益気・辛温解表
25,桂枝茯苓丸,けいしぶくりょうがん,金匱要略,半・中・中,少陽病 ／ 実証から虚実中間,脈力中等度、沈遅沈渋で緊張がある,紫紅色、乾燥した白苔,腹力中等度、下腹部に抵抗と圧痛(小腹硬満),下焦のお血。下腹部の痛みや圧痛抵抗、または腫瘤、月経不順、月経困難、不正性器。一般的なお血に用いてもよい。,活血化お・消塊
125,桂枝茯苓丸加よく苡仁,けいしぶくりょうがんかよくいにん,本朝経験方,半・中・中,少陽病 ／ 実証から虚実中間,脈力中等度、沈遅沈渋で緊張がある,紫紅色、乾燥した白苔,腹力中等度、下腹部に抵抗と圧痛(小腹硬満),桂枝茯苓丸証に炎症、腫瘤などを伴うもの。,活血化お・消塊・消炎消腫
180,桂芍知母湯,けいしゃくちもとう,金匱要略,裏・寒・虚,太陰病から少陰病 ／  虚実中間からやや虚証,浮数でやや力あり・浮弱・微弱・沈で力あり,口舌乾燥、またはやや湿潤し、多くは無苔時に白苔,少しく陥凹して軟、時に腹直筋の緊張がある,水毒・寒証による激しい関節痛、関節腫脹、寒がり。熱傷による患部の熱感、自汗。虚証による疲労倦怠。,去風湿・散寒・止痛
128,啓脾湯,けいひとう,万病回春,裏・寒・虚,太陰病 ／  虚証,軟弱,無苔,初期は腹力中等度からやや軟、慢性期は軟弱無力,脾胃気虚の下痢。軟便、水様便または不消化下痢。,補気健脾・理気去痰・止瀉
TY-037,桂麻各半湯,けいまかくはんとう,傷寒論,表・寒・中,太陽病 ／  虚実中間,浮で脈力中等度やや浮やや弱・浮で力あり・浮やや数,著変なし,腹力中等度で著変なし,表寒証（発熱・悪寒・頭痛・関節痛・脈浮）,辛温解表・調和営衛・止咳平喘・発汗解表
70,香蘇散,こうそさん,和剤局方,裏・寒・やや虚,太陰病 ／ やや虚証,浮弱・沈,乾湿中間、微白苔,腹力やや軟、心下痞、時に心下痞硬、臍傍に大動脈拍動亢進,脾胃気滞による腹が張る、腹痛、悪心、嘔吐。気滞を伴う表寒感冒による頭痛、悪寒、無汗、身体痛。脾胃気滞を伴う症状全般。,理気和胃・理気解表
95,五虎湯,ごことう,万病回春,表・熱・実,少陽病 ／  実証,弦・やや浮・ やや緊,乾燥した白苔,腹力中等度,肺熱の喘咳。咳嗽、呼吸困難、呼吸促迫、口渇、熱感、発熱、無汗または有汗などの症候。（麻杏甘石湯＋桑白皮）,清肺平喘・止咳・消炎鎮咳
63,五積散,ごしゃくさん,和剤局方,表裏・寒・虚,太陰病 ／ 虚証,弦やや浮沈,乾湿中間で微白苔,やや軟から軟、心下痞硬または痞満,表寒・寒湿困脾による悪寒、発熱、頭痛、関節痛、悪心、嘔吐、下痢、腹部膨満、腹痛、腹や四肢の冷え。冷房など寒冷の環境によって生じる身体の冷え、悪寒、頭痛、四肢の痺れ、筋肉痛など。,温中散寒・理気化湿・補血活血・辛温解表・通絡調経
107,牛車腎気丸,ごしゃじんきがん,済生方,裏・寒・虚,太陰病 ／ 虚証,動脈硬化症にみられる硬い脈,紅舌、微白苔または無苔,腹力やや軟から軟、臍下不仁が必発、しばしば下腹部の腹直筋の緊張(小腹拘急)、時に心下痞硬、臍傍の動悸亢進,腎陽虚の水腫。八味地黄丸の症候に、下半身の水腫やだるさを伴うもの。,温補腎陽・利水
31,呉茱萸湯,ごしゅゆとう,傷寒論、金匱要略,裏・寒・虚,太陰病 ／  虚証,沈沈弱・沈遅・微沈・微緩・微細・浮弱・浮細,湿潤して微白苔,腹力やや軟から軟、時に軟弱、心下部膨満または陥凹、心下痞硬,胃虚寒の嘔吐、食べると吐き気がする、吃逆、よだれ、上腹部の痞や膨満感。寒飲上逆による発作性に生じる頭痛、悪心または嘔吐、首筋からこめかみの凝り、めまい感。,散寒止嘔・温胃止痛・健脾益気
56,五淋散,ごりんさん,和剤局方,裏・熱・中,少陽病 ／ 虚実中間, やや弱・滑数,紅舌、微白苔から黄苔,腹力中等度以下,熱淋、強い尿路の炎症。利尿、抗菌、消炎作用などにより治す。,清熱利水・活血止痛
17,五苓散,ごれいさん,傷寒論、金匱要略,半・中・中,少陽病 ／  虚実中間,浮 浮数・浮弱洪数・浮滑,微白苔または白苔,腹力中等度からやや軟、心下痞硬、上腹部に振水音,水湿による悪風、微熱、尿量減少、口渇、水を飲むとすぐに大量に嘔吐する、水様の嘔吐または下痢、浮腫、めまい感、腹部の動悸、身体が重いなど。,利水滲湿・通陽・解表
73,柴陥湯,さいかんとう,本朝経験方,半・熱・中,少陽病 ／ やや実証,弦・細緊やや実,微白苔または白苔,腹力中等度、心下痞硬、多くは胸脇苦満,半表半裏証に、咳嗽、胸痛、黄色粘稠な喀痰、などの熱証を伴うもの。,和解半表半裏・清熱去痰
12,柴胡加竜骨牡蛎湯,さいこかりゅうこつぼれいとう,傷寒論,半・熱・やや実（やや虚）,少陽病 ／ やや実証,実・弦・ 緊・ やや沈緊・数,乾燥した白苔,腹力やや充実、胸脇苦満、心下痞硬、臍上悸・臍下悸。心下部が抑肝散では筋ばり、本方では膨満する傾向,心肝火旺・脾気虚・痰湿。イライラ、不眠、多夢、驚きやすい、動悸、のぼせ、胸脇部が脹って苦しいなどの心肝火旺に、疲れやすい、食欲不振、悪心、腹部膨満感などの脾気虚、むくみ、尿が少ないなどの痰湿を伴うもの。,清熱安神・補気健脾・去痰止嘔
11,柴胡桂枝乾姜湯,さいこけいしかんきょうとう,傷寒論、金匱要略,半・中・虚,少陽病から太陰病 ／ 虚証,沈弱・沈弦細・弦細・弦弱・弦遅・弦緊・弱・浮弱・浮細・浮数, 無苔または微白苔,腹力やや軟、心下部および季肋下は陥凹してやや抵抗、時に自他覚的に膨満するが触診すると軟らかい,津液不足、裏寒を伴う半表半裏証で、肝鬱化火・胃寒を伴う。,和解半表半裏・温裏去寒・疏肝解欝・安神・潤燥
10,柴胡桂枝湯,さいこけいしとう,傷寒論、金匱要略,やや表・熱・やや虚,太陽病と少陽病の併病 ／ やや虚証,弦やや浮 浮弦弱 稀に浮緩,やや乾燥して微白苔,腹力やや軟、胸脇苦満、心下支結,半表半裏証（少陽病） に頭痛、悪風、身体痛などの表寒（太陽病） を伴うもの、および肝鬱化火・脾気虚・痰湿を兼ねるもの。,和解半表半裏・解表・疏肝解鬱・補気健脾・和胃止嘔
80,柴胡清肝湯,さいこせいかんとう,一貫堂医学,半・熱・中,少陽病 ／ 虚実中間,弦やや弱,乾湿中間で微白苔,腹力やや軟、腹直筋の異常緊張、時に胸脇苦満や心下痞硬,"上焦の熱証・燥証による上腹部知覚過敏や皮膚が浅黒い状態、腹直筋が緊張して触られるのを嫌がる、怒りやすいまたは精神不安定などの症状。
※一貫堂医学の解毒証体質の小児向け（青年期は荊芥連翹湯、中年期以降は竜胆瀉肝湯）",清熱解毒・去風排膿・養血・止血
96,柴朴湯,さいぼくとう,本朝経験方,半・熱・中,少陽病 ／ 虚実中間からやや虚証,弦・細にして力あり,やや乾燥し、白苔または微白苔,腹力中等度からわずかに軟、多くは胸脇苦満と心下痞硬,半表半裏証（少陽病）と痰湿。ゆううつ感、イライラ、怒りっぽい、口が苦い、往来寒熱、胸脇部が脹って苦しい（胸脇苦満）、悪心、嘔吐、咳などに痰、かすれ声などを伴うもの。,疏肝解欝・補気健脾・理気降逆・去痰止咳・和解半解半表半裏
114,柴苓湯,さいれいとう,得効方,半・熱・中,少陽病 ／ 虚実中間からやや実証,弦やや浮 浮にして力あり,乾燥して白苔,腹力中等度、胸脇苦満,半表半裏証（少陽病）と水滞。ゆううつ感、イライラ、怒りっぽい、口が苦い、往来寒熱、胸脇部が脹って苦しい（胸脇苦満）、悪心、嘔吐、咳などに下痢、浮腫などの水滞を伴うもの。,和解半表半裏・通陽利水
113,三黄瀉心湯,さんおうしゃしんとう,金匱要略,裏・熱・実,少陽病 ／ 実証,浮実 沈実・弦・やや緊・大,乾燥した白苔または黄苔,腹力中等度からやや実、多くは心下痞,熱盛、血熱妄行、湿熱、心火旺・肝胆火旺・胃熱。黄連解毒湯とほぼ同じ証で、便秘を伴うものかジクジクした皮膚炎を伴うもの。,清熱瀉火・解毒・清熱化湿・瀉下・止血
103,酸棗仁湯,さんそうにんとう,金匱要略,裏・熱・虚,少陽病から太陰病 ／ 虚証,やや軟・やや弱・弱数・沈・沈微・沈弱,湿潤して無苔,腹力やや軟から軟、臍上悸・臍下悸,心血虚・心肝火旺。寝つきが悪い、眠りが浅い、多夢、動悸、健忘、頭のふらつきなどの心血虚の症候に、イライラ、焦燥感、のどや口の渇き、のぼせ、ほてりなどの心肝火旺の熱証を伴うもの。疲れて寝たいのに寝れない、疲れすぎて寝れない者に。,養心安神・清熱除煩
121,三物黄ごん湯,さんもつおうごんとう,金匱要略,裏・熱・虚,少陽病 ／ 虚実中間,弦やや弱・沈遅・微緊時に数等で、 浮沈強弱のかたよりが少ない,微白苔,やや軟,陰虚火旺によるほてり。,滋陰清熱
93,滋陰降火湯,じいんこうかとう,万病回春,裏・熱・虚,少陽病 ／ 虚証,やや軟・やや弱で数,紅舌、乾燥して微白苔,腹力やや軟、臍上悸,肺腎陰虚。乾咳、少痰または粘痰、喉の渇き、呼吸促迫などの肺陰虚に、ほてり、のぼせ、ふらつき、腰や膝に力がない、寝汗などの陰虚火旺を伴うもの。,滋陰清熱・止咳去痰
92,滋陰至宝湯,じいんしほうとう,万病回春,裏・熱・虚,"太陰病, 虚証",沈・やや軟,湿潤して無苔,腹力やや軟,肝気鬱結、気血両虚、肺陰虚。逍遙散証に、咳嗽、痰が粘稠で喀出しにくい、口渇、熱感、のぼせ、手のひらや足のうらのほてり、午後の微熱、寝汗などの肺陰虚の症候を伴うもの。,疏肝解欝・滋陰清熱・理気健脾・潤燥去痰
35,四逆散,しぎゃくさん,傷寒論,半・熱・実,少陽病 ／ 虚実中間,弦・細やや緊沈緊沈沈遅,やや乾燥して微白苔,腹力中等度よりやや軟、左右の胸脇苦満と左右の腹直筋の異常緊張、多くは心下痞硬,肝気鬱結・肝脾不和。憂鬱感、情緒不安定、イライラ、ヒステリック、ため息が多い、胸苦しい、胸脇部が脹って苦しい（胸脇苦満）、腹が張る、悪心、便秘と下痢を繰り返す、残便感、女性は月経不順、月経痛、または無月経、月経前の乳房の張りなど。,疏肝解欝・理気止痛・透熱
75,四君子湯,しくんしとう,和剤局方,裏・寒・虚,太陰病 ／ 虚証,やや軟・やや弱・沈緩・洪大無力,淡白胖大、湿潤して微白苔,軟、心下に力なし、しばしば上腹部に振水音,脾胃気虚。元気がない、気力がない、疲れやすい、全身の無力感、声に力がない、息切れ、口数が少ない、顔色が白い、食欲不振、少食、味がない、軟便～水様便または便秘など。六君子湯証よりも重度な気虚向け。,補気健脾・利水消腫
314,梔子柏皮湯,ししはくひとう,傷寒論,半・熱・虚,"少陽病, 虚証",不定,不定,不定,皮膚掻痒症、黄疸、蕁麻疹,清熱利湿・退黄・清熱化湿
46,七物降下湯,しちもつこうかとう,修琴堂（大塚敬節）方,裏・寒・虚,太陰病 ／ 虚証から虚実中間,弦やや緊・弦細,淡白舌,腹力やや軟から軟,血虚・肝陽化風。顔色が悪く、皮膚に艶がなく、四肢がしびれ、筋肉が引きつるなどの血虚に、のぼせ、ほてり、目まい、ふらつき、手足のふるえ、耳鳴などの肝陽化風の症候を伴うもの。,補血益気・熄風
71,四物湯,しもつとう,和剤局方,裏・寒・虚,太陰病虚証,やや沈・やや弱・弱・細,紅舌,腹力やや軟から軟、多くは臍の上下に動悸,血虚。顔色が悪くつやがない、皮膚がカサカサして潤いがない、爪の色が悪くもろい、目がかすむ、目が疲れる、目の乾燥感、頭がボーッとする、ふらつく、動悸、四肢のしびれ、筋肉が引きつる、女性では月経周期の延長、月経量が少ない、無月経などがみられる。,補血活血・調経
64,炙甘草湯,しゃかんぞうとう,傷寒論、金匱要略,裏・熱・虚,少陽病 ／ 虚証,結代 (不整脈) 浮虚数・浮虚虚,紅舌,腹力軟、陥凹、心下痞、腹部大動脈の動悸,心気陰両虚。脈の結滞、息切れ、疲労感などに動悸、咽や口の乾燥感、眠りが浅い、寝汗、やせる、便が硬いなどを伴うもの。,益気通陽・滋陰補血
68,芍薬甘草湯,しゃくやくかんぞうとう,傷寒論,裏・中・虚,陰陽および虚実にわたり広く用いられる,弦やや弱・軟に近い,乾湿中間から多くは湿潤,腹力中等度からやや軟、両腹直筋の異常緊張がある,平滑筋、骨格筋の痙攣性疼痛に頓服。,平肝・解痙止痛
146,芍薬甘草附子湯,しゃくやくかんぞうぶしとう,傷寒論,裏・寒・虚,,,,腹力中等度からやや軟,,平肝・解痙止痛
48,十全大補湯,じゅうぜんたいほとう,和剤局方,裏・寒・虚,太陰病から少陰病 ／ 虚証,軟・やや弱・弱・沈小微細遅遅・浮洪大で無力,湿潤して微白苔,腹力やや軟から軟弱まで,気血両虚。元気がない、気力がない、疲れやすい、倦怠感、食欲不振、軟便～泥状便などの気虚に、顔色が悪い、皮膚につやがない、頭がふらつく、目がかすむ、四肢のしびれ感、筋肉がひきつるなどの血虚を伴うもの。,気血双補・温陽去寒
6,十味敗毒湯,じゅうみはいどくとう,華岡青洲,表・熱・実,少陽病 ／ 虚実中間から実証,やや実,乾燥した白苔,腹力中等度以上、時に心下痞硬と胸脇苦満,風湿熱の皮疹。まばらな小丘疹で、先端に白い膿が乗っているもの。,去風化湿・清熱解毒
51,潤腸湯,じゅんちょうとう,万病回春,裏・熱・虚,少陽病から太陰病 ／ 虚証,やや軟・やや弱,乾燥して微白苔,腹力やや軟、腹壁弛緩だが時に硬い、糞塊を触れる、,陰虚の便秘。口が渇く、咽の乾燥、午後の熱感、手の平や足の裏のほてり、盗汗、痩せるなどの陰虚の症候に、兎糞状の便や便秘を伴うもの。麻子仁丸よりも燥証が強く熱証も加わったもの。,滋陰補血・潤腸通便
99,小建中湯,しょうけんちゅうとう,傷寒論、金匱要略,裏・寒・虚,太陰病 ／ 顕著な虚証,浮弱・沈弱・沈・微細・小・檣・遅・浮大で力がない 扎,淡紅,腹力軟、腹壁薄い、腹直筋全体にベニヤ板状の緊張,脾虚あるいは気血不足のものの腹痛。顔色がさえない、やや疲れやすい、食が細いなどの体質で、ときに腹痛があり温めたり押さえたりすると軽減するもの。頻尿、汗をかきやすい、動悸などを伴うことが多い。,緩急止痛・温中補虚
