一般的な製品番号,略称,症状
125,桂枝茯苓丸加よく苡仁,"ニキビ,Uゾーンのニキビ,生理周期に伴うニキビ,ホットフラッシュ,ほてり,のぼせ,生理不順,生理痛,PMS,頭痛,肩こり,足の冷え,むくみ,腰痛,打撲,捻挫,痔,静脈瘤,ヒステリー,ノイローゼ,不妊症,動悸,めまい,子宮筋腫,"
180,桂芍知母湯,"リウマチ,神経痛,関節の腫れ,寒がり,頭痛,寒気,悪寒,発熱,疲れやすい,疲労感,患部の熱感,慢性,進行した関節痛,長期化した関節痛,やせ,"
128,啓脾湯,"下痢,泡状の下痢,食欲不振,胃腸虚弱,口の中が甘い,嘔吐,悪心,吐き気,小児の消化不良,慢性胃腸炎,貧血,疲労感,疲れやすい,胃腸が弱い,"
TY-037,桂麻各半湯,"のどチクの風邪,頭痛,悪寒,寒気,発熱,咳,咽頭痛,熱感,汗が出る,喘鳴,"
70,香蘇散,"落ち込み,不安,感情不安定,抑うつ,気力低下,やる気が出ない,食欲不振,胃腸虚弱,胃腸が弱い,頭痛,めまい,下痢,腹痛,吐き気,悪心,嘔吐,発熱,悪寒,寒気,耳鳴り,耳つまり,耳閉感,難聴,魚の食あたり,魚による蕁麻疹,ノイローゼ,自律神経失調症,更年期うつ,落ち込み,"
95,五虎湯,"気管支ぜんそく,咳,咳こみ,喘鳴,ゼエゼエ,痰,黄色い鼻水,緑色の鼻水,黄色い痰,緑色の痰,ネバネバな痰,濃い痰,発熱,汗が出る,口が渇く,体が熱い,熱感,熱の風邪,慢性的な咳,喘息,痔,風邪,寒気はない,"
63,五積散,"のぼせ,頭痛,腰痛,腰の冷え,腹痛,食欲不振,吐き気,悪心,生理痛,生理不順,貧血,咳,めまい,むくみ,悪寒,寒気,発熱,おりもの,老の風邪,"
107,牛車腎気丸,"排尿困難,頻尿,下半身がだるい,足がだるい,足のむくみが強い,夜間頻尿,下半身の脱力,下半身の麻痺,寒がり,むくみ,手足の冷え,疲労感,疲れやすい,頻尿,トイレが近い,精力が弱い,インポテンツ,腰痛,のぼせ,口が渇く,加齢,体力低下,目の衰え,耳の衰え,耳鳴り,発育不良,男性更年期,お腹の動悸,40代,50代,60代,70代,"
31,呉茱萸湯,"冷えて頭痛,偏頭痛,片頭痛,気圧痛,頭痛,吐き気,悪心,嘔吐,めまい,つわり,食欲不振,みぞおちのつかえ,胃腸が弱い,手足の冷え,"
56,五淋散,"頻尿,膀胱炎,排尿痛,トイレが近い,残尿感,膀胱炎を繰り返す,"
17,五苓散,"気圧痛,むくみ,吐き気,乗り物酔い,喉が渇く,低気圧が苦手,だるい,肩こり,頭痛,めまい,口が渇く,汗が出る,悪心,嘔吐,水を飲むと沢山吐く,水様の下痢,動悸,雨の日だるい,のぼせ,"
73,柴陥湯,"咳による胸痛,胸の痛み,咳,気管支炎,肺炎,息を吸うと胸が痛む,咳をすると痛む,肩こり,痰,疲れやすい,疲労感,肋膜炎,"
12,柴胡加竜骨牡蛎湯,"ストレス,眠れない,睡眠不足,悪夢,頭痛,肩こり,めまい,吐き気,口の中が苦い,耳鳴り,むくみ,驚きやすい,感情不安定,憂鬱,思い悩み,動悸,のぼせ,めまい,抑うつ,息苦しい,怒りやすい,緊張,腹筋の緊張,神経症,実証,尿が少ない,"
11,柴胡桂枝乾姜湯,"神経症,不眠症,落ち込み,悩みやすい,寝つきが悪い,不安感,疲労感,疲れやすい,冷え,首から上の汗,のぼせ,更年期,自律神経失調症,吐き気,唇の渇き,口の渇き,頭の汗,感情不安定,不眠,お腹の動悸,寝汗,寒がり,手足の冷え,ノイローゼ,ヒステリー,ストレス,"
10,柴胡桂枝湯,"アレルギー,喘息,風邪,上半身の汗,のぼせ,口が苦い,脇が痛い,脇が張る,みぞおちの張り,吐き気,悪心,食欲不振,イライラ,思い悩み,肋間神経痛,ストレス,寒くなったり暑くなったり,やや"
80,柴胡清肝湯,"小児,くすぐったがり,虚弱,怒りやすい,神経質,感情不安定,驚きやすい,神経過敏,わがまま,緊張,肌が黒い,ノイローゼ,不安感,ヒステリー,口内炎,"
96,柴朴湯,"せき,不安神経症,口が苦い,口が粘る,脇が痛い,脇が張る,みぞおちの張り,ノイローゼ,ストレス,落ち込み,思い悩み,声がかすれる,のどに引っかかる,痰,吐き気,つわり,ガス溜まり,華奢,過緊張,のどが引っかかる,抑うつ,繊細,憂鬱,不安,不眠,感情不安定,動悸,げっぷ,食欲不振,悪心,吐き気,嘔吐,むくみ,頭痛,頭重,疲れやすい,疲労感,無気力,貧血,手足の冷え,"
114,柴苓湯,"喉が渇く,尿が少ない,下痢,脇の張り,口が苦い,悪心,吐き気,嘔吐,むくみ,熱射病,お腹の風邪,"
113,三黄瀉心湯,"不眠,便秘,のぼせ,ノイローゼ,口内炎,口臭,みぞおちのつかえ,充血,めまい,鼻血,皮膚炎,炎症,"
103,酸棗仁湯,"不眠,疲れてるのに眠れない,不安,憂鬱,思い悩み,寝たいのに寝れない,疲労感,疲れやすい,頭痛,疲れすぎて眠れない,"
121,三物黄ごん湯,"手のひらのほてり,手足のほてり,手が熱い,体が熱い,だるい,体が重い,口が渇く,口渇,舌が渇く,頭痛,不眠,不安,動悸,めまい,皮膚炎,かゆみ,夏に悪化,掌蹠膿疱症,更年期,自律神経失調症,"
93,滋陰降火湯,"夜の咳,寝ると咳,全身乾燥,高齢者,便秘,痰,濃厚な痰,ネバネバな痰,少量の痰,痰が出ない,乾燥肌,激しい咳,寝汗,ほてり,性行為過多による体調不良,声がれ,声がかすれる,のどが渇く,口渇,口の渇き,床につくと咳が出る,寝てる間の咳,"
92,滋陰至宝湯,"濃い痰,濃厚な痰,咳,食欲不振,感情不安定,抑うつ,虚証,虚弱な女性,PMS,生理不順,疲れやすい,疲労感,衰弱,寝汗,口渇,口の渇き,ほてり,乾燥肌,"
35,四逆散,"ヒステリー,ストレス,頭痛,イライラ,手足の冷え,手汗,口が苦い,便秘と下痢を繰り返す,残便感,抑うつ,肩こり,口が粘る,口が渇く,寒くなったり暑くなったり,脇の痛み,脇の張り,過緊張,寝つきが悪い,疲れやすい,手足の冷え,強い緊張,ノイローゼ,ストレスからくる胃痛,"
75,四君子湯,"重度の食欲不振,食欲がほとんどない,食後動けない,食後眠くなる,食後に眠くなる,食後の眠気,無気力,気力減退,疲労感,だるい,疲れやすい,顔色が悪い,貧血,唇が白い,胃腸が弱い,胃腸虚弱,食後の眠気,下痢しやすい,食後お腹が張る,手足が重い,動悸,息切れ,めまい,汗が出る,エネルギー不足,"
314,梔子柏皮湯,"黄疸,発熱,発疹,かゆみ,顔が赤い,"
46,七物降下湯,"のぼせ,めまい,頭痛,耳鳴り,肩こり,頭重,疲れやすい,乾燥肌,頻尿,手足のしびれ,高血圧,"
71,四物湯,"貧血,乾燥肌,生理不順,PMS,かゆみ,感情不安定,動悸,目のかすみ,目が疲れる,眼精疲労,爪がもろい,ほてり,"
64,炙甘草湯,"息切れ,不整脈,動悸,呼吸困難,疲れやすい,疲労感,不安,耳鳴り,めまい,のぼせ,口の渇き,"
68,芍薬甘草湯,"こむら返り,足がつる,腹痛,筋肉がつる,筋肉のけいれん,"
146,芍薬甘草附子湯,"悪寒,風邪を漢方で治した後に悪寒だけ残った,"
48,十全大補湯,"手足の冷え,貧血,乾燥肌,手術後,疲れ,食欲不振,食後眠くなる,食後に眠くなる,食後の眠気,疲れやすい,疲労感,無気力,汗が出る,寝汗,不眠,病中の衰弱,病後の衰弱,産後の衰弱,抑うつ,だるい,"
6,十味敗毒湯,"ニキビ,小さな発疹,先端に膿,化膿,白い湿疹,湿疹,アトピー,小さな丘疹,かゆみ,じんましん,"
51,潤腸湯,"便秘,コロコロした便,兎の糞状,乾燥肌,疲れやすい,頻尿,高齢者の便秘,口の渇き,のどが渇く,ほてり,全身の乾燥,"
99,小建中湯,"小児,神経質,慢性胃腸炎,小児夜尿症,夜なき,疲れやすい,疲労感,虚弱体質,だるい,驚きやすい,繊細,動悸,食欲不振,腹痛,精力減退,鼻血,小児の腹痛,腹筋の緊張,ベニヤ腹,のどが渇く,口の渇き,寝汗,微熱,手足のほてり,ほてる皮膚炎,"
9,小柴胡湯,"肺炎,気管支炎,アトピー,肩こり,脇の不快感,脇の痛み,寒くなったり暑くなったり,首側面のこり,首側面の痛み,悪心,吐き気,食欲不振,咳,痰,怒りやすい,落ち込みやすい,ノイローゼ,ストレス,"
109,小柴胡湯加桔梗石膏,"風邪をこじらせた,喉の痛み,喉の腫れ,新型コロナ,口が渇く,喉の化膿,咽頭炎,扁桃炎,耳下腺炎,アトピー,"
19,小青竜湯,"アレルギー性鼻炎,花粉症,喘息,水っぽい鼻水,水っぽい痰,ゼエゼエ,喘鳴,風邪,悪寒,寒気,発熱,頭痛,頭重,頭が重い,くしゃみ,呼吸困難,冷え,吐き気,かぜ,"
21,小半夏加茯苓湯,"つわり,悪心,吐き気,嘔吐,みぞおちのつかえ,食欲不振,胃腸が弱い,胃腸虚弱,汗が出る,めまい,動悸,せき,顔色が悪い,手足の冷え,疲れやすい,疲労感,"
22,消風散,"分泌物が多い,かゆみの強い慢性の皮膚病,アトピー,皮膚炎,かゆみ,激しいかゆみ,発赤,分泌液,汚い肌荒れ,滲出液,夏に悪化,ジュクジュクした肌,痂皮形成,熱感,貨幣状湿疹,樹皮のような皮膚炎,"
101,升麻葛根湯,"皮膚炎,赤い発疹,発熱,頭痛,発赤,かゆみ,蕁麻疹,目の充血,はしか,発疹のある発熱,身体痛,節々の痛み,関節痛,"
140,四苓湯,"むくみ,吐き気,利尿作用,乗り物酔い,喉が渇く,低気圧,だるい,めまい,口が渇く,汗が出る,悪心,嘔吐,水を飲むと沢山吐く,水様の下痢,動悸,雨の日だるい,"
104,辛夷清肺湯,"慢性の副鼻腔炎,顔面痛,黄色い痰,黄色い鼻水,鼻づまり,鼻閉,副鼻腔痛,頭痛,後鼻漏,鼻の痛み,前頭部痛,額が痛い,おでこの熱感,鼻茸,鼻ポリープ,"
66,参蘇飲,"感冒,せき,優しめの総合感冒剤,咳,痰,鼻水,頭痛,妊婦,高齢者,悪心,吐き気,嘔吐,発熱,寒気,悪寒,抑うつ,感情不安定,"
85,神秘湯,"小児ぜんそく,気管支ぜんそく,気管支炎,せき,喘息,小児喘息,呼吸困難,喘鳴,ゼエゼエ,咳,抑うつ,感情不安定,慢性の咳,喘息体質,"
30,真武湯,"下痢,腹痛のない下痢,冷え,疲れやすい,疲労感,だるい,めまい,手足の冷え,動悸,寒がり,すぐ横になりたがる,尿が少ない,悪心,吐き気,震え,けいれん,むくみ,咳,押しても戻らないむくみ,"
58,清上防風湯,"にきび,赤いニキビ,腫れたニキビ,思春期ニキビ,発赤,ほてり,熱感,頭部湿疹,酒さ,アトピー,首から上の湿疹,かゆみ,顔が赤い,"
136,清暑益気湯,"暑気あたり,暑さによる食欲不振,下痢,全身倦怠,夏やせ,夏バテ,だるさ,食欲不振,熱中症予防,疲労感,疲れやすい,口が渇く,口渇,汗が出る,体が熱い,落ち着かない,夏負け,"
111,清心蓮子飲,"膀胱炎,精神的な原因,出かける日だけ,頻尿,心因性頻尿,感情不安定,繊細,抑うつ,憂鬱,残尿感,排尿痛,不眠,手のほてり,ノイローゼ,"
90,清肺湯,"痰の多く出る咳,濃い痰,痰のせいで咳がでる,COPD,喫煙者,タバコ,激しい咳,のど痛,のどがイガイガ,乾燥肌,疲れやすい,息切れ,黄色い痰,緑色の痰,ネバネバな痰,"
124,川きゅう茶調散,"かぜ,血の道症,頭痛,頭痛,風邪の初期,寒気,発熱,PMS,"
53,疎経活血湯,"腰痛,筋肉痛,神経痛,関節痛,下半身の痛み,下半身のしびれ,夜に悪化,静脈瘤,足の痛み,特に左足が痛い,夜に悪化,リウマチ,起床時に腰痛,生理不順,手足の冷え,むくみ,"
84,大黄甘草湯,"便秘症,便秘,他に症状がない便秘,"
33,大黄牡丹皮湯,"月経不順,月経困難,便秘,痔疾,PMS,更年期,便秘,おへその右側の痛み,下腹部痛,血便,熱感,下腹部の炎症,虫垂炎,腹膜炎,お腹の張り,化膿,急性期,子宮筋腫,"
100,大建中湯,"腸の動きがおかしい,お腹の痙攣,冷えによる腹痛,腸の異常運動,お腹が鳴る,寒がり,疲れやすい,疲労感,激しい腹痛,お腹の冷え,腰の冷え,蠕動運動亢進,"
8,大柴胡湯,"ストレス,イライラ,太鼓腹,メタボ体型,脇の張り,脇の痛み,腹部膨満感,便秘,みぞおちの張り,後頭部不快感,寒くなったり暑くなったり,怒りやすい,管理職,悪心,吐き気,嘔吐,しゃっくり,腹痛,お腹の強い張り,下腹部の張り,抑うつ,不眠,動悸,"
319,大柴胡湯去大黄,"ストレス,イライラ,太鼓腹,メタボ体型,脇の張り,脇の痛み,腹部膨満感,みぞおちの張り,後頭部不快感,寒くなったり暑くなったり,怒りやすい,管理職,悪心,吐き気,嘔吐,しゃっくり,腹痛,お腹の強い張り,下腹部の張り,抑うつ,不眠,動悸,"
133,大承気湯,"便秘,お腹の張り,腹痛,臭い便,下痢,乾燥肌,固い便,乾いた便,熱,汗が出る,口の渇き,意識障害,"
97,大防風湯,"関節痛,関節の腫れ,患部が冷たい,貧血,足の脱力,足がだるい,足の筋力低下,筋肉痛,疲れやすい,麻痺,疲労感,歩行困難,足の冷え,変形性膝関節症,足の麻痺,"
91,竹じょ温胆湯,"不眠,夢をよく見る,悪夢,抑うつ,ノイローゼ,動悸,感情不安定,驚きやすい,疲れやすい,疲労感,胸がモヤモヤ,咳,痰,風邪をこじらせた,喘息,気管支炎,風邪の後眠れない,"
59,治頭瘡一方,"顔の湿疹,頭の湿疹,便秘,発赤,化膿,かゆみ,発疹,脂漏性湿疹,"
89,治打撲一方,"打撲によるはれ及び痛み,打撲,ねんざ,内出血,腫れ,"
74,調胃承気湯,"便秘,急性大腸炎,下痢を伴う高熱,便秘,お腹の張り,腹痛,汗が出る,口臭,口の渇き,"
47,釣藤散,"頭痛,朝の頭痛,目の奥が痛い,めまい,身体に力が入る,緊張しやすい,イライラ,思い悩み,頻尿,手足の冷え,抑うつ,肩こり,胃部不快感,食欲不振,嘔吐,悪心,吐き気,乾燥肌,偏頭痛,癇が強い,高血圧,緑内障,"
320,腸癰湯,"虫垂炎,お腹の張り,腹痛,化膿,慢性期,"
40,猪苓湯,"膀胱炎,痛みなし,トイレが近い,尿が出渋る,残尿感,不眠,感情不安定,血尿,"
112,猪苓湯合四物湯,"膀胱炎,痛みなし,トイレが近い,尿が出渋る,残尿感,不眠,感情不安定,血尿,貧血,生理不順,乾燥肌,手足の冷え,手足のほてり,血尿,"
105,通導散,"便秘,お腹の張り,下腹部痛,のぼせ,腰痛,打撲,肩こり,頭痛,頭重,PMS,生理痛,"
61,桃核承気湯,"便秘,ほてり,のぼせ,発狂,PMS,生理不順,赤黒い顔,足の冷え,充血,頭痛,頭重,ヒステリー,ノイローゼ,感情不安定,実証,不妊症,腰痛,肩こり,更年期,激しい症状,出血,鼻血,下血,不正出血,痔,捻挫,打撲,うっ血,"
86,当帰飲子,"乾燥肌,かゆみ,肌がはがれる,粉が吹く肌,かくと肌がこぼれる,高齢者のかゆみ,冬のかゆみ,夜のかゆみ,貧血,手足の冷え,虚弱者,"
123,当帰建中湯,"潰瘍性大腸炎,出血する胃腸炎,疲れやすい,疲労感,虚弱体質,だるい,食欲不振,腹痛,精力減退,鼻血,のどが渇く,口の渇き,寝汗,微熱,"
38,当帰四逆加呉茱萸生姜湯,"しもやけ,頭痛,下腹部痛,腰痛,エアコン病,冷え,冷え性,疲れやすい,疲労感,だるい,冷えて頭痛,冷えて腹痛,吐き気,悪心,全身の冷え,手足の冷え,寒がり,悪寒,下腹部痛,体の痛み,手足の痛み,嘔吐,動悸,肩こり,下痢,"
23,当帰芍薬散,"月経困難,不妊症,疲れやすい,むくみ,めまい,頭痛,頭重,生理不順,生理痛,PMS,貧血,流産予防,手足の冷え,疲労感,無気力,腹痛,やせ,虚証,肩こり,動悸,耳鳴り,不眠,感情不安定,筋力不足,尿が少ない,低血圧,不妊症,腰痛,ノイローゼ,ヒステリー,更年期,自律神経失調症,"
143,当帰芍薬散加附子,"強い冷え,月経困難,疲れやすい,むくみ,めまい,頭痛,頭重,生理不順,PMS,貧血,流産予防,手足の冷え,疲労感,無気力,腹痛,やせ,虚証,肩こり,動悸,耳鳴り,不眠,感情不安定,筋力不足,尿が少ない,低血圧,不妊症,腰痛,ノイローゼ,ヒステリー,更年期,自律神経失調症,"
102,当帰湯,"腹痛,胸痛,肩の痛み,背中痛,冷えて痛む,冷えると痛む,手足の冷え,ガスだまり,動悸,疲れやすい,疲労感,無気力,食欲不振,貧血,"
88,二朮湯,"肩痛,上腕痛,五十肩,四十肩,肩関節痛,頚腕症候群,むくみ,尿が少ない,だるい,"
81,二陳湯,"悪心,嘔吐,吐き気が強い,みぞおちのつかえ,めまい,動悸,頭痛,食欲不振,咳,痰,胃の不快感,慢性胃炎,"
67,女神散,"血の道症,のぼせ,ほてり,ホットフラッシュ,顔の赤み,めまい,立ちくらみ,PMS,更年期障害,生理不順,体力ある,イライラ,落ち込み,体格が普通か大きめ,感情不安定,抑うつ,自律神経失調症,更年期,お腹の張り,便秘,不眠,動悸,症状が一定,疲れやすい方ではない,"
32,人参湯,"下痢,冷え,胃が弱い,よだれ,腹痛,食欲不振,胸のつかえ,顔色が悪い,顔が白い,手足の冷え,吐き気,悪心,嘔吐,胃酸の逆流,しゃっくり,お腹が空くが食べられない,お腹の冷え,悪寒,寒がり,むくみ,頭重,めまい,疲れやすい,疲労感,貧血,冷えると下痢,下痢すると腹痛が止む,しびれ,お腹が痛む下痢,"
108,人参養栄湯,"疲れやすい,咳,動悸,息切れ,認知症,貧血,乾燥肌,手術後,疲れ,食欲不振,食後眠くなる,食後に眠くなる,食後の眠気,疲労感,無気力,汗が出る,寝汗,不眠,病中の衰弱,病後の衰弱,産後の衰弱,抑うつ,だるい,ゼエゼエ,呼吸困難,息が浅い,"
122,排膿散及湯,"化膿,抗生剤の代わり,中耳炎,歯槽膿漏,副鼻腔炎,蜂窩織炎,炎症,"
29,麦門冬湯,"かすれ声,口渇,のどの渇き,日中の咳,激しい咳,のぼせ,咳をするとのぼせ,声がれ,疲労感,疲れやすい,濃厚な痰,濃い痰,少量の痰,痰が出ない,"
7,八味地黄丸（八味丸）,"夜間頻尿,寒がり,むくみ,手足の冷え,疲労感,疲れやすい,頻尿,トイレが近い,精力が弱い,インポテンツ,腰痛,のぼせ,口が渇く,加齢,体力低下,目の衰え,耳の衰え,耳鳴り,発育不良,男性更年期,お腹の動悸,40代,50代,60代,70代,"
